Nama Wilayah;IPM;AHH;IKP;II;LPP;PDRB_ADHB;PTP;RLS
Sambas;67.1;69.08;68.16;158;1.68;22293194.08;46531;6.72
Bengkayang;68.04;73.84;79.55;52;2.14;9318527.82;106037;6.8
Landak;66.21;73.04;75.23;48;1.17;11614172.69;7723;7.12
Mempawah;66.03;71.18;74.36;50;1.82;9084515.84;31502;7.04
Sanggau;66.2;71.42;76.00;73;1.02;21678774.37;21584;7.39
Ketapang;67.43;71.11;74.05;100;2.17;30911315.92;58908;7.46
Sintang;66.93;71.84;71.51;146;0.75;15749078.86;74605;7.08
Kapuas Hulu;65.75;72.53;72.41;107;0.6;11071935.29;15327;7.53
Sekadau;64.93;72.05;73.13;41;0.83;7132689.94;2310;6.85
Melawi;65.87;72.98;59.18;28;1.74;5626604.42;31032;6.91
Kayong Utara;62.9;68.48;72.56;33;2.09;4533991.24;39844;6.02
Kubu Raya;68.16;70.69;72.47;62;1.26;31231417.06;70858;7
Kota Pontianak;79.93;73.12;66.57;29;1.02;40200359.04;63409;10.43
Kota Singkawang;72.11;72.18;63.22;21;1.61;10877846.7;26954;7.9
Kotawaringin Barat;73.07;70.68;60.10;69;0.59;23708753.57;293019;8.53
Kotawaringin Timur;71.38;69.9;77.56;78;0.59;29678169.54;59964;8.15
Kapuas;69.63;68.78;78.39;100;1.05;18695936.39;104347;7.6
Barito Selatan;70.54;67.19;75.72;30;0.27;6681133.27;9661;8.95
Barito Utara;70.79;71.3;84.77;36;1.17;10565226;7861;8.85
Sukamara;68.27;71.56;69.81;13;1.74;4943668.71;1521;8.09
Lamandau;70.58;69.39;79.43;19;2.24;6566594.46;80113;8.43
Seruyan;67.67;69.26;70.87;29;0.68;9890066.35;1088;7.96
Katingan;68.89;65.87;77.89;56;0.41;9040860.54;7148;8.68
Pulang Pisau;68.53;68.1;81.05;64;0.47;5969695.94;12370;8.19
Gunung Mas;71.03;70.46;53.15;31;1.68;7173231.74;1630;9.18
Barito Timur;71.47;68.31;76.16;46;0.67;7949947.24;4775;9.23
Murung Raya;68.12;69.53;65.97;42;0.62;8917593.23;16369;7.61
Kota Palangka Raya;80.82;73.24;80.60;22;1.4;19649166.94;19473;11.53
Tanah Laut;69.87;69.59;81.61;110;1.15;15326244.74;75564;7.89
Kota Baru;69.13;69.32;78.85;120;0.89;26492463.18;54051;7.46
Banjar;69.89;67.41;80.72;218;0.88;17934282.46;17427;7.52
Barito Kuala;66.64;66.27;79.19;154;0.94;9174921.47;9567;7.55
Tapin;70.31;70.57;85.18;99;0.92;9387409.72;46817;7.77
Hulu Sungai Selatan;69.21;66.12;80.26;109;0.64;7125712.36;269756;7.76
Hulu Sungai Tengah;69.05;66.2;79.86;129;0.59;7394016.1;65991;8.01
Hulu Sungai Utara;66.12;64.1;81.05;203;0.69;5253448.85;5109;7.75
Tabalong;72.6;70.57;81.82;90;1.06;19934957.43;29779;9.11
Tanah Bumbu;71;70.45;85.56;104;1.27;22387305.27;20044;7.97
Balangan;69.11;67.85;79.11;88;1.06;12201610.56;34021;7.69
Kota Banjarmasin;77.57;71.29;78.34;52;0.53;34596065;1272;10.2
Kota Banjar Baru;79.26;72.1;72.23;20;1.57;10003080.05;59432;10.96
Paser;72.93;72.88;80.48;81;0.58;53887948.57;30636;8.79
Kutai Barat;72.07;73.1;57.76;104;0.74;32093136.01;17403;8.7
Kutai Kartanegara;74.06;72.64;84.73;178;0.44;177416584.2;325331;9.23
Kutai Timur;73.81;73.46;66.19;107;2.53;136617573.3;41478;9.43
Berau;75.2;72.32;86.77;65;1.39;43036483.47;96824;9.53
Penajam Paser Utara;72.01;71.68;86.24;48;0.83;10089643.12;33267;8.36
Mahakam Ulu;67.95;72.33;52.75;24;1.05;2972865.58;107;8.18
Kota Balikpapan;80.71;74.76;88.68;34;0.76;111382197.7;256373;10.91
Kota Samarinda;80.76;74.54;83.72;57;0.31;71170547.8;101604;10.49
Kota Bontang;80.59;74.55;87.24;15;0.81;57949626.32;10024;10.8
Malinau;72.32;71.49;73.66;59;1.99;12858768.65;39386;9.4
Bulungan;71.8;72.74;77.19;57;2.22;20341959.1;70172;9.19
Tana Tidung;67.76;71.49;56.00;18;4.36;6673092.18;4484;8.8
Nunukan;66.46;71.4;76.25;73;2.66;29779871.6;61629;8.17
Kota Tarakan;76.23;74.04;82.02;20;1.49;41858398.34;306757;9.98
